row_ID,vehicle_manufacturer,vehicle_model,vehicle_category,current_mileage,vehicle_year,vehicle_gearbox_type,doors_cnt,wheels,vehicle_color,vehicle_interior_color,car_vin,car_leather_interior,deal_type,final_price
0,TOYOTA,Aqua s,Sedan,133000,2014,Automatic, 4/5,  Right-hand drive   , Silver ,  Black ,,0,For Sale,3650.0
1,MERCEDES-BENZ,C 220,Sedan,24500,2010,Manual, 4/5,  Left wheel  , Silver ,  Black ,,0,For Sale,6800.0
2,HYUNDAI,Veloster,Hatchback,31000,2016,Tiptronic, 2/3,  Left wheel  , Silver ,  Black , KMHTC6AE3GU293912 ,1,For Sale,6300.0
3,HYUNDAI,Santa FE,Jeep,115459,2015,Automatic, 4/5,  Left wheel  , Blue ,  Black ,,1,For Sale,14488.0
4,TOYOTA,CHR,Jeep,18950,2019,Automatic, 4/5,  Left wheel  , Black ,, JTNKHMBX7K1030253 ,1,For Sale,5000.0
5,MITSUBISHI,Delica,Jeep,149000,2003,Automatic, 4/5,  Right-hand drive   , Silver ,  Black ,,0,For Sale,20.0
6,HYUNDAI,Tucson,Jeep,173600,2013,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,7632.0
7,BMW,X5,Jeep,264000,2006,Tiptronic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,6500.0
8,TOYOTA,Aqua,Hatchback,86658,2017,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,4870.0
9,BMW,640,Sedan,190000,2012,Tiptronic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,16500.0
10,MERCEDES-BENZ,GLE 350,Sedan,21574,2018,Automatic,,  Left wheel  , Black ,, 4JGDA5JB2JB095271 ,1,For Sale,20600.0
11,NISSAN,Juke,Jeep,129128,2013,Automatic, 4/5,  Left wheel  , White ,, JN8AF5MV2DT218035 ,1,For Sale,775.0
12,LEXUS,GX 470,Jeep,252890,2008,Automatic, 4/5,  Left wheel  , Red ,, JTJBT20X780149121 ,1,For Sale,20.0
13,FORD,Focus,Sedan,116800,2013,Tiptronic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,4500.0
14,MERCEDES-BENZ,C 230,Sedan,153000,2004,Automatic, 4/5,  Left wheel  , Silver ,  Grey ,,1,For Sale,4000.0
15,VAZ,2103,Sedan,0,2000,Manual, 4/5,  Left wheel  , White ,  Black ,,0,For Sale,1339.0
16,AUDI,Q5,Jeep,287021,2011,Automatic, 4/5,  Left wheel  , Black ,, WA1VFCFP8BA097076 ,1,For Sale,2100.0
17,LEXUS,CT 200h F sport,Coupe,128000,2014,Variator, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,12000.0
